apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,1220,1240,1260,1280,1300,1320,1340,1360,1380,1400,1420,1440,1460,1480,1500,1520,1540,1560,1580,1600,1620,1640,1660,1680,1700,1720,1740,1760,1780,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004950398465015,7.7127854178164,8.82345540504031,17.4204217522128,28.7447860133452,31.7222250504144,43.62145586220095,59.88886994324194,59.72406551476401,68.03052856643805,60.54752347053041,70.64811156993406,80.7815647748761,77.1290678596583,86.31956952800059,99.0547329505556,62.22347159930675,67.17070510679795,71.25975777939075,68.91079094482355,66.1222769427327,69.97676237804797,66.76784974194985,84.5804609591448,99.72242423210035,109.946199752816,103.9506627771095,103.7516856021505,114.1423835867425,97.2594637580766,88.13710383150735,89.66935625126135,85.7970727119996,99.30997485178345,97.16787131578825,112.5941851253125,128.1445347909275,110.423462110935,109.47570701891865,108.118561529037,90.50549520563618,88.56011524545465,125.6802914106625,114.89736180265,106.259501742651,99.8613199033586,139.00364436930852,109.48138343405583,94.11496152616304
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.558776964517769,26.342153702718804,29.39210531480855,30.245368176720298,25.74000308829175,21.3412795193658,32.5207676934404,29.84530910967535,23.89966419136985,33.00263834738475,32.02274889636685,30.14310811640405,28.8361168614086,34.71940961914965,30.231395790422404,33.2927544931993,37.113687336695705,34.7825287265469,42.64643506395785,42.464357911630046,41.255358813562594,59.2291225943876,59.672782144304946,58.32997356131511,47.59091875359745,40.6883486587689,57.03917161164375,77.63808430075144,81.3666203787158,71.73792902878802,90.70933182098321,86.83988951889833,83.40539597728,87.88649155830265,99.4179011212077,95.77783906674969,83.73983267696855,80.92099102776895,92.59531498756326,106.1664305998525,101.8801336564791,120.464394221083,130.9837573605545,161.16332158519901,158.4400684011575,130.91842118716949,120.635966541639,96.2779470258981,82.5152096818243,69.6366897821089,78.13220122783825,77.55307077673734,106.807109298861,116.56460517531801,138.7452397792295
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56183763758555,10.929711601786144,14.636726590972525,13.04681504134175,10.756736995437802,19.238792519940752,36.71087343104065,34.45232102187065,33.808639680394805,26.6205118771245,37.89929854121445,33.7435005861542,38.315090637580354,37.6432046734815,40.98593832935475,45.19092451999509,53.757766974188854,56.687418809289206,57.31998415930655,64.00581586037875,58.808858661735044,58.28283062805261,50.66913137211991,63.13182846973541,74.23100668313799,94.4262378146974,85.36489461701466,105.078552085515,147.598170905244,132.981155582485,139.56093790415702,161.5543907090545,127.125254677566,105.4943654920445,100.03748395638686,107.64163450668451,95.68094923391166,109.55456416209,105.08818347689851,112.36662761273101,116.7160617702995,117.55634289659,121.69767967450849,139.543726147212,141.834087988183,130.5567143874145,121.79561132402,105.012668542905,101.29326239087646,115.1647237687405,118.402695100963,100.37132379599626
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997982667540605,19.071054067376,17.200618122854934,12.3749611285986,3.7126134622162,0.0,14.011652180121299,34.55301279225675,28.533041653949553,31.116777148815245,36.494709340712305,48.89662169478835,40.758764697231044,39.606221745692395,42.73666066822636,36.07074310091805,38.12528347819015,50.0076603456504,47.3278112538439,41.994622061113304,33.8350704863576,36.1546273941555,36.5512202902255,34.7623449509036,42.9716957072573,52.088693998541444,56.27519733209304,53.176831409578355,59.770314568010605,74.27721117932839,73.87699516178205,72.97056765768974,105.213331413494,111.5191868736895,108.753200524596,97.9210907519095,106.37100448501849,124.1941073347435,102.8653933455985,90.82507291553674,91.16921696237026,104.06245566144985,98.71087351946676,112.82371656291136,125.7516569599385,109.0628381136815,114.5774519472915,96.12863878942139,87.42035350377608,119.11417406607201,120.9977647103745
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53836971922624,10.842089636561251,30.702995909848,33.05862661759695,33.168666115476356,30.7661198466627,34.4632376681203,41.118273665040704,35.27398271356199,36.278619564626645,44.35294331538061,62.83498175421569,69.3762603430541,74.39367892888585,69.65844487082855,61.08371430232205,62.2741102684446,44.700754673614995,47.131185926876455,51.8993427247176,56.09751087656935,64.41442955566559,61.0518419740292,75.13723306333964,83.48514421261899,87.06148203026206,80.75334946160226,68.66558032487521,82.1668609687341,109.341239480062,138.95748432886052,134.9590085401915,115.8680760843755,105.9446525591975,109.416412542773,102.37530953504199,88.11820413643005,99.40304621244366,101.3273513281914,93.4950184170435,96.91449839833885,73.2823338071655,72.06708427621186,74.63729377135016,86.31232111145275,74.69503446936619,70.39249985689105,68.86159941134706,77.03115468342081,74.83008884514945,79.52095767030684,89.0285817213209,94.86029274502604
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5446479163901,0.1880718907533239,0.0,0.0,0.0,0.0,0.0,0.0,25.7947134930897,26.704421771467,54.361223195058,70.7520243765648,84.4729167721621,91.1093627985132,73.19341008030709,85.99959999657221,78.5275792113749,70.3713655981166,51.289612369008,46.8777698520606,60.0485518469928,47.7961192910271,43.42943541079151,70.1274961680872,48.04888844093289,55.756305345496,53.5074994094418,64.1920658057009,63.86010745768029,61.2832659671218,47.6959263069588,40.3219524430286,54.617673916327895,43.060674525450494,44.8658394104425,53.31772522452479,39.1760237652082,39.3998091462215,31.0951344727355,14.3513159864664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.983992816918942,17.413684611727252,15.943855968251306,10.5465919943187,13.368852607993109,31.1782659655559,35.85903615150595,30.5122964924307,32.189591479325,27.3219676757981,35.37700887940585,39.959742792449006,41.550955432513504,41.425268045307256,42.32137062518895,51.888045880466656,45.5809921726248,42.8570580477525,47.93646842293505,53.126037356663645,48.070403971396004,48.69410019972225,48.14361587817581,56.977373491053555,59.0112499441093,45.191472324012096,61.2341196130251,59.52119400049661,62.96438925584315,61.83274318566106,59.8607494097801,62.72274861372475,60.04373653151959,63.71476804684645,63.77692024239634,47.798953707592354,40.2876495476998,49.5409043932592,51.7282510416062,42.494030331862945,35.79473569844045,20.88329457606115,13.49063417201955,2.050133200423425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17507242080034,1.97386036308289,22.767825077707748,20.88431741866765,28.5388295107334,33.48826300761475,22.783899962777298,28.935167134519247,31.26472142122825,32.9916737618311,31.43098876657865,34.21066157298145,44.1134760396651,47.700518963108905,53.41292816343315,60.75971349862455,56.0011357247983,59.08546101186,63.22293475609275,74.83766241706505,55.79452315353545,60.564440376614,59.37083952910175,51.343021175334655,60.9332768249964,55.095882532949105,66.05739055915875,68.6553777478799,72.39212490582344,66.03233596047575,55.90896069809635,52.77662193770125,49.9135569170855,53.11977352536215,58.6688076114079,52.0768436931245,52.491286449760004,50.12955776964105,58.829165826573345,50.4660442392748,53.41770947647815,37.104627379244306,32.9940763691627,34.42735481808106,31.82279164431175,6.347322788196645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7017921861581,14.8524356147942,24.176042669383897,27.8059660767758,38.45818912209911,59.1444585262971,43.73077876938029,37.3962424905269,39.4996748101977,44.764394903162405,53.3144310781423,48.3989155537825,38.8868903427178,36.8140612228454,27.6547740333102,39.3496115797423,38.1190474161655,35.1000640698211,43.2435746535517,40.4024546299245,39.1605274243387,36.8540661284721,39.91848886758429,30.0753286412754,28.595835376139103,13.7845665262799,0.0,0.0,0.0,0.0,0.0,5.4718300723214695,23.1479806749738,24.5406902226567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07673943845248,21.684179273122503,31.6773908245835,25.256021358712,19.0917548157762,0.0,0.0,34.2787058166998,30.7775852614286,27.2301769133351,76.56127298551841,65.9382066046676,67.785341238041,67.3342093567828,67.23273322608279,56.2571933832396,41.3154319028838,28.636683799144603,28.6746428554681,11.1192740487204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8797604908026,27.9861614424146,25.5612353825222,9.80410113986716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
